@Caption,ブロードバンドサービス等の契約数の推移,,,,,,,
@Creator,総合通信基盤局電気通信事業部データ通信課,,,,,,,
@Date,2021/6/30,,,,,,,
@Language,ja,,,,,,,
@@Title,,,,,,,,
西暦年,四半期,都道府県名,FTTH,DSL,CATV,FWA,BWA,LTE
@@Unit,,,,,,,,
年,期末,,契約数,契約数,契約数,契約数,契約数,契約数
@@Datatype,,,,,,,,
xsd:string,xsd:string,xsd:string,xsd:integer,xsd:integer,xsd:integer,xsd:integer,xsd:integer,xsd:integer
2007,Q4,宮崎県,"57,632","71,977","44,594",399,-,-
2007,Q4,鹿児島県,"95,574","129,479","5,380",133,-,-
2007,Q4,沖縄県,"73,375","103,469","25,667",422,-,-
2008,Q1,都道府県計,"12,154,668","12,710,613","3,871,903","12,836",-,-
2008,Q1,北海道,"454,984","511,746","76,548","2,247",-,-
2008,Q1,青森県,"57,522","122,768","13,052",158,-,-
2008,Q1,岩手県,"69,539","115,626","9,458",20,-,-
2008,Q1,宮城県,"190,024","232,220","30,417",219,-,-
2008,Q1,秋田県,"53,050","94,442","20,618",0,-,-
2008,Q1,山形県,"69,822","106,007","14,672",0,-,-
2008,Q1,福島県,"126,870","173,255",819,5,-,-
2008,Q1,茨城県,"174,490","319,322","44,532",0,-,-
2008,Q1,栃木県,"132,614","199,506","49,248",0,-,-
2008,Q1,群馬県,"145,615","216,404","17,728",1,-,-
2008,Q1,埼玉県,"709,541","747,793","241,285",434,-,-
2008,Q1,千葉県,"662,614","656,492","188,001",521,-,-
2008,Q1,東京都,"2,243,327","1,688,367","517,572","1,193",-,-
2008,Q1,神奈川県,"1,112,210","1,061,600","363,788","1,755",-,-
2008,Q1,新潟県,"135,852","246,204","22,853",3,-,-
2008,Q1,富山県,"57,755","78,520","82,966",232,-,-
2008,Q1,石川県,"87,723","108,128","32,293",172,-,-
2008,Q1,福井県,"47,405","54,172","58,234",0,-,-
2008,Q1,山梨県,"58,738","87,400","23,090",4,-,-
2008,Q1,長野県,"130,947","203,698","90,601",0,-,-
2008,Q1,岐阜県,"134,025","180,464","81,247",662,-,-
2008,Q1,静岡県,"283,320","488,989","62,830",264,-,-
2008,Q1,愛知県,"689,968","711,287","331,606",27,-,-
2008,Q1,三重県,"96,281","121,239","178,110",142,-,-
2008,Q1,滋賀県,"170,682","112,041","18,868",0,-,-
2008,Q1,京都府,"328,639","300,728","18,247",6,-,-
2008,Q1,大阪府,"1,121,528","858,245","378,859",69,-,-
2008,Q1,兵庫県,"552,733","526,485","194,467",4,-,-
